,HomeTeam,AwayTeam,FT Result,HTH Goals,HTA Goals,HT Result,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red
45,1,28,0,1.0,0.0,0,11.0,12.0,6.0,6.0,14.0,7.0,5.0,4.0,3.0,3.0,0.0,0.0
46,8,33,2,0.0,1.0,2,7.0,10.0,3.0,6.0,9.0,14.0,9.0,5.0,3.0,4.0,0.0,0.0
47,22,31,2,0.0,3.0,2,10.0,15.0,2.0,7.0,9.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0
48,45,9,1,0.0,0.0,1,11.0,12.0,4.0,6.0,14.0,20.0,8.0,4.0,2.0,2.0,0.0,0.0
49,16,0,2,1.0,3.0,2,15.0,14.0,6.0,6.0,9.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0
50,6,45,1,0.0,0.0,1,29.0,16.0,9.0,3.0,6.0,11.0,12.0,6.0,0.0,2.0,0.0,0.0
51,14,8,0,1.0,0.0,0,26.0,9.0,8.0,4.0,11.0,7.0,8.0,5.0,0.0,2.0,1.0,0.0
52,9,16,2,0.0,2.0,2,17.0,13.0,5.0,5.0,11.0,15.0,8.0,5.0,1.0,4.0,0.0,0.0
53,28,29,2,1.0,0.0,0,10.0,10.0,3.0,3.0,5.0,14.0,8.0,2.0,1.0,1.0,0.0,0.0
54,38,42,2,0.0,5.0,2,9.0,18.0,3.0,9.0,8.0,15.0,2.0,5.0,1.0,3.0,0.0,0.0
55,0,18,1,0.0,0.0,1,13.0,2.0,5.0,0.0,6.0,9.0,8.0,2.0,0.0,3.0,0.0,0.0
56,33,1,0,0.0,0.0,1,17.0,8.0,6.0,2.0,12.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0
57,31,25,0,1.0,0.0,0,27.0,4.0,11.0,1.0,7.0,16.0,5.0,2.0,3.0,3.0,0.0,0.0
58,26,19,1,0.0,1.0,2,16.0,12.0,4.0,3.0,10.0,7.0,5.0,4.0,3.0,4.0,1.0,0.0
59,47,22,2,0.0,1.0,2,16.0,10.0,6.0,5.0,13.0,9.0,7.0,3.0,0.0,2.0,1.0,0.0
60,45,47,0,0.0,0.0,1,19.0,19.0,4.0,5.0,12.0,17.0,11.0,0.0,5.0,4.0,0.0,0.0
61,19,0,1,1.0,0.0,0,2.0,12.0,2.0,4.0,10.0,9.0,0.0,6.0,4.0,2.0,0.0,0.0
62,25,9,1,0.0,1.0,2,10.0,16.0,3.0,7.0,9.0,10.0,5.0,5.0,1.0,2.0,0.0,0.0
63,22,6,2,1.0,0.0,0,18.0,22.0,5.0,6.0,9.0,13.0,6.0,13.0,2.0,1.0,0.0,0.0
64,42,14,2,2.0,1.0,0,13.0,17.0,5.0,8.0,17.0,11.0,5.0,10.0,2.0,2.0,0.0,0.0
65,29,33,2,1.0,1.0,1,17.0,11.0,7.0,3.0,10.0,13.0,5.0,3.0,0.0,2.0,0.0,0.0
66,16,28,1,1.0,1.0,1,12.0,12.0,3.0,4.0,4.0,10.0,6.0,8.0,1.0,0.0,0.0,1.0
67,1,38,0,1.0,0.0,0,18.0,4.0,5.0,0.0,18.0,15.0,14.0,1.0,1.0,3.0,0.0,0.0
68,8,31,0,2.0,2.0,1,11.0,16.0,8.0,3.0,10.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0
69,6,42,0,1.0,0.0,0,21.0,12.0,8.0,4.0,15.0,8.0,5.0,9.0,2.0,2.0,0.0,0.0
70,19,9,0,1.0,0.0,0,6.0,13.0,2.0,3.0,7.0,8.0,5.0,6.0,2.0,2.0,0.0,0.0
71,28,33,0,2.0,0.0,0,17.0,12.0,7.0,3.0,7.0,15.0,8.0,2.0,2.0,4.0,0.0,0.0
72,18,47,0,2.0,0.0,0,13.0,6.0,4.0,2.0,10.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0
73,1,8,0,3.0,0.0,0,20.0,9.0,10.0,1.0,11.0,15.0,10.0,5.0,2.0,2.0,0.0,0.0
74,0,29,0,0.0,0.0,1,14.0,5.0,6.0,2.0,12.0,8.0,13.0,0.0,1.0,3.0,0.0,0.0
75,38,14,2,1.0,3.0,2,6.0,26.0,4.0,13.0,7.0,14.0,5.0,7.0,1.0,0.0,1.0,0.0
76,31,26,1,1.0,0.0,0,17.0,16.0,6.0,5.0,9.0,17.0,5.0,6.0,2.0,5.0,0.0,0.0
77,25,45,0,1.0,0.0,0,8.0,31.0,6.0,10.0,9.0,7.0,3.0,9.0,2.0,2.0,0.0,0.0
78,22,16,2,0.0,0.0,1,9.0,13.0,2.0,3.0,14.0,13.0,4.0,7.0,2.0,4.0,0.0,0.0
79,26,28,0,1.0,0.0,0,18.0,8.0,7.0,2.0,9.0,8.0,7.0,4.0,1.0,3.0,0.0,0.0
80,14,1,0,2.0,0.0,0,17.0,10.0,8.0,4.0,21.0,6.0,3.0,4.0,2.0,2.0,0.0,0.0
81,29,18,0,2.0,0.0,0,11.0,8.0,5.0,2.0,12.0,12.0,2.0,2.0,2.0,3.0,0.0,0.0
82,42,19,1,0.0,0.0,1,8.0,14.0,3.0,6.0,4.0,14.0,7.0,11.0,0.0,1.0,0.0,1.0
83,8,25,0,3.0,1.0,0,13.0,7.0,6.0,3.0,9.0,10.0,5.0,4.0,1.0,1.0,0.0,0.0
84,33,22,0,0.0,0.0,1,12.0,7.0,5.0,3.0,5.0,16.0,8.0,7.0,1.0,3.0,0.0,0.0
85,45,0,2,2.0,5.0,2,12.0,16.0,5.0,7.0,10.0,13.0,2.0,10.0,4.0,1.0,0.0,0.0
86,16,31,1,0.0,0.0,1,16.0,1.0,4.0,0.0,12.0,11.0,8.0,9.0,3.0,3.0,0.0,0.0
87,47,6,2,1.0,3.0,2,10.0,12.0,3.0,8.0,13.0,11.0,3.0,4.0,4.0,1.0,0.0,0.0
88,9,38,1,1.0,0.0,0,22.0,10.0,5.0,2.0,20.0,16.0,7.0,6.0,2.0,4.0,0.0,0.0
89,31,45,2,0.0,1.0,2,18.0,15.0,2.0,6.0,11.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0
90,22,29,1,1.0,1.0,1,11.0,11.0,6.0,4.0,11.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0
91,38,26,2,1.0,1.0,1,7.0,27.0,5.0,11.0,11.0,9.0,3.0,10.0,3.0,4.0,0.0,0.0
92,19,47,2,1.0,1.0,1,10.0,10.0,3.0,5.0,14.0,14.0,7.0,2.0,3.0,0.0,0.0,0.0
93,6,9,2,0.0,1.0,2,19.0,6.0,5.0,4.0,13.0,10.0,7.0,0.0,2.0,2.0,0.0,1.0
94,18,8,1,0.0,0.0,1,27.0,9.0,5.0,2.0,8.0,10.0,10.0,4.0,0.0,0.0,0.0,1.0
95,28,42,2,0.0,2.0,2,23.0,9.0,5.0,7.0,19.0,9.0,9.0,3.0,4.0,2.0,0.0,0.0
96,25,14,2,0.0,1.0,2,4.0,16.0,1.0,7.0,15.0,12.0,2.0,9.0,4.0,3.0,0.0,0.0
97,0,33,0,1.0,0.0,0,19.0,7.0,7.0,0.0,10.0,1.0,8.0,1.0,3.0,2.0,0.0,0.0
98,1,16,1,1.0,2.0,2,17.0,13.0,5.0,6.0,10.0,11.0,10.0,1.0,3.0,2.0,0.0,0.0
99,33,31,2,1.0,0.0,0,9.0,17.0,3.0,6.0,13.0,6.0,4.0,5.0,1.0,1.0,0.0,0.0
100,42,22,2,0.0,2.0,2,17.0,8.0,5.0,3.0,10.0,19.0,12.0,2.0,1.0,5.0,0.0,0.0
101,14,0,1,0.0,0.0,1,17.0,13.0,3.0,3.0,12.0,12.0,4.0,3.0,4.0,2.0,0.0,0.0
102,29,25,0,2.0,0.0,0,13.0,6.0,3.0,5.0,9.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0
103,45,18,1,0.0,0.0,1,11.0,18.0,6.0,4.0,10.0,9.0,7.0,6.0,1.0,2.0,0.0,0.0
104,26,1,0,1.0,0.0,0,14.0,12.0,5.0,2.0,11.0,15.0,2.0,9.0,0.0,3.0,0.0,0.0
105,8,6,0,1.0,1.0,1,12.0,15.0,6.0,3.0,8.0,16.0,6.0,4.0,2.0,4.0,0.0,0.0
106,16,19,2,0.0,1.0,2,13.0,17.0,5.0,7.0,10.0,11.0,1.0,8.0,1.0,1.0,1.0,0.0
107,47,38,0,1.0,0.0,0,8.0,9.0,4.0,0.0,14.0,12.0,1.0,9.0,1.0,4.0,0.0,0.0
108,9,28,0,0.0,1.0,2,10.0,15.0,4.0,6.0,12.0,10.0,0.0,4.0,3.0,3.0,0.0,0.0
109,19,8,0,0.0,1.0,2,26.0,5.0,12.0,2.0,3.0,10.0,11.0,3.0,2.0,1.0,0.0,0.0
110,29,14,1,0.0,0.0,1,11.0,12.0,4.0,3.0,19.0,14.0,4.0,8.0,6.0,2.0,0.0,0.0
111,42,1,0,0.0,1.0,2,16.0,12.0,6.0,1.0,14.0,14.0,6.0,4.0,2.0,0.0,0.0,0.0
112,22,25,1,0.0,0.0,1,14.0,20.0,2.0,6.0,11.0,10.0,4.0,6.0,4.0,2.0,1.0,0.0
113,26,9,0,0.0,1.0,2,16.0,13.0,8.0,5.0,10.0,18.0,10.0,7.0,1.0,1.0,0.0,0.0
114,38,18,0,0.0,0.0,1,9.0,16.0,2.0,5.0,14.0,18.0,3.0,6.0,4.0,2.0,0.0,0.0
115,47,16,1,0.0,0.0,1,11.0,19.0,6.0,7.0,7.0,9.0,3.0,6.0,1.0,2.0,0.0,0.0
116,33,45,0,1.0,0.0,0,19.0,4.0,6.0,2.0,7.0,9.0,11.0,6.0,1.0,2.0,0.0,1.0
117,31,0,0,1.0,0.0,0,9.0,10.0,4.0,1.0,16.0,18.0,4.0,6.0,4.0,4.0,0.0,0.0
118,6,28,0,1.0,0.0,0,12.0,18.0,6.0,4.0,11.0,6.0,3.0,10.0,2.0,1.0,0.0,0.0
119,0,26,1,2.0,1.0,0,9.0,9.0,3.0,4.0,14.0,14.0,1.0,3.0,2.0,2.0,0.0,0.0
120,14,31,0,1.0,1.0,1,17.0,11.0,7.0,3.0,13.0,16.0,7.0,4.0,6.0,3.0,0.0,0.0
121,45,29,0,0.0,0.0,1,12.0,18.0,3.0,5.0,6.0,7.0,6.0,5.0,5.0,1.0,0.0,0.0
122,16,42,0,1.0,0.0,0,14.0,11.0,6.0,3.0,16.0,12.0,8.0,8.0,4.0,4.0,0.0,0.0
123,28,38,0,1.0,0.0,0,22.0,5.0,8.0,2.0,9.0,9.0,12.0,1.0,1.0,3.0,0.0,0.0
124,9,47,1,1.0,0.0,0,19.0,14.0,6.0,7.0,12.0,10.0,9.0,6.0,3.0,3.0,0.0,0.0
125,18,19,1,0.0,0.0,1,10.0,14.0,5.0,3.0,8.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0
126,8,22,0,2.0,2.0,1,20.0,11.0,9.0,5.0,7.0,10.0,5.0,5.0,0.0,1.0,0.0,1.0
127,1,6,1,0.0,0.0,1,18.0,11.0,8.0,3.0,12.0,14.0,9.0,7.0,7.0,6.0,0.0,0.0
128,25,33,2,1.0,1.0,1,11.0,20.0,1.0,5.0,16.0,9.0,6.0,7.0,5.0,2.0,0.0,0.0
129,33,16,0,0.0,0.0,1,20.0,20.0,6.0,7.0,9.0,12.0,6.0,6.0,2.0,3.0,0.0,0.0
130,47,28,2,1.0,1.0,1,3.0,22.0,2.0,7.0,8.0,5.0,1.0,18.0,4.0,1.0,0.0,0.0
131,26,14,0,1.0,0.0,0,9.0,12.0,5.0,2.0,12.0,13.0,1.0,6.0,4.0,3.0,0.0,0.0
132,6,0,0,0.0,0.0,1,13.0,6.0,4.0,1.0,12.0,11.0,7.0,4.0,1.0,1.0,0.0,1.0
133,29,8,0,0.0,1.0,2,23.0,8.0,11.0,2.0,14.0,5.0,9.0,2.0,2.0,2.0,0.0,0.0
134,38,25,2,2.0,0.0,0,14.0,18.0,7.0,4.0,10.0,10.0,10.0,6.0,5.0,3.0,1.0,0.0
135,19,1,2,1.0,1.0,1,10.0,14.0,4.0,5.0,8.0,11.0,6.0,11.0,3.0,3.0,1.0,1.0
136,22,18,2,0.0,2.0,2,13.0,11.0,2.0,8.0,12.0,10.0,5.0,8.0,1.0,1.0,0.0,0.0
137,31,9,2,0.0,1.0,2,21.0,10.0,6.0,5.0,11.0,9.0,9.0,4.0,2.0,2.0,0.0,0.0
138,42,45,0,1.0,1.0,1,22.0,11.0,7.0,4.0,10.0,15.0,13.0,5.0,1.0,3.0,0.0,1.0
139,1,29,1,0.0,0.0,1,11.0,10.0,1.0,4.0,12.0,11.0,6.0,3.0,1.0,5.0,0.0,0.0
140,14,33,1,0.0,0.0,1,22.0,16.0,8.0,9.0,12.0,11.0,11.0,3.0,6.0,2.0,0.0,1.0
141,9,42,0,0.0,2.0,2,11.0,13.0,4.0,3.0,14.0,10.0,4.0,7.0,2.0,2.0,0.0,0.0
142,18,31,1,0.0,0.0,1,8.0,14.0,2.0,3.0,12.0,8.0,0.0,10.0,1.0,2.0,0.0,0.0
143,0,38,0,0.0,0.0,1,29.0,8.0,6.0,2.0,10.0,9.0,13.0,1.0,0.0,3.0,0.0,0.0
144,45,22,0,2.0,1.0,0,23.0,9.0,13.0,2.0,12.0,6.0,5.0,5.0,0.0,1.0,0.0,0.0
145,16,26,2,0.0,1.0,2,9.0,16.0,5.0,4.0,7.0,15.0,3.0,8.0,4.0,2.0,0.0,0.0
146,28,19,0,1.0,1.0,1,20.0,11.0,7.0,4.0,4.0,10.0,8.0,3.0,2.0,1.0,0.0,0.0
147,25,6,0,1.0,0.0,0,6.0,17.0,2.0,2.0,12.0,14.0,0.0,9.0,4.0,1.0,0.0,0.0
148,8,47,0,4.0,2.0,0,19.0,17.0,12.0,6.0,9.0,10.0,10.0,3.0,2.0,3.0,0.0,0.0
149,6,38,0,3.0,0.0,0,14.0,9.0,6.0,3.0,19.0,12.0,7.0,4.0,2.0,5.0,0.0,0.0
150,29,42,2,0.0,1.0,2,11.0,24.0,2.0,10.0,16.0,14.0,5.0,3.0,5.0,3.0,1.0,0.0
151,22,1,1,1.0,2.0,2,15.0,7.0,5.0,3.0,10.0,14.0,10.0,0.0,4.0,1.0,0.0,0.0
152,31,28,1,0.0,1.0,2,11.0,16.0,4.0,6.0,14.0,10.0,5.0,6.0,4.0,4.0,0.0,0.0
153,33,19,2,0.0,0.0,1,11.0,14.0,1.0,2.0,11.0,15.0,6.0,5.0,2.0,4.0,0.0,0.0
154,8,45,1,1.0,0.0,0,8.0,19.0,3.0,3.0,2.0,11.0,7.0,7.0,2.0,3.0,0.0,0.0
155,0,25,0,2.0,0.0,0,36.0,5.0,16.0,3.0,11.0,6.0,17.0,0.0,2.0,4.0,0.0,0.0
156,47,26,2,0.0,1.0,2,8.0,10.0,3.0,6.0,16.0,8.0,2.0,10.0,2.0,3.0,0.0,0.0
157,18,16,0,0.0,1.0,2,8.0,17.0,2.0,5.0,13.0,11.0,5.0,8.0,2.0,1.0,0.0,0.0
158,14,9,0,4.0,2.0,0,15.0,15.0,7.0,5.0,11.0,8.0,8.0,2.0,3.0,2.0,0.0,0.0
159,28,0,1,1.0,2.0,2,33.0,5.0,11.0,3.0,7.0,10.0,8.0,2.0,3.0,4.0,0.0,1.0
160,9,33,1,2.0,1.0,0,14.0,4.0,3.0,3.0,12.0,11.0,9.0,1.0,3.0,4.0,0.0,1.0
161,26,6,0,3.0,0.0,0,19.0,19.0,13.0,6.0,10.0,12.0,3.0,9.0,1.0,4.0,0.0,0.0
162,19,31,0,2.0,0.0,0,22.0,15.0,11.0,4.0,16.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0
163,1,47,0,0.0,1.0,2,9.0,10.0,4.0,4.0,11.0,16.0,6.0,5.0,3.0,6.0,0.0,0.0
164,38,22,1,1.0,0.0,0,11.0,13.0,3.0,6.0,16.0,16.0,2.0,10.0,4.0,4.0,0.0,0.0
165,16,29,1,0.0,0.0,1,9.0,15.0,4.0,6.0,7.0,12.0,4.0,11.0,3.0,1.0,0.0,0.0
166,42,8,0,2.0,1.0,0,23.0,6.0,10.0,6.0,11.0,9.0,9.0,4.0,3.0,1.0,0.0,0.0
167,25,18,1,0.0,1.0,2,12.0,16.0,2.0,5.0,11.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0
168,45,14,2,0.0,2.0,2,15.0,12.0,7.0,5.0,17.0,9.0,6.0,5.0,5.0,2.0,0.0,0.0
169,47,31,2,1.0,0.0,0,12.0,14.0,5.0,6.0,17.0,6.0,4.0,7.0,3.0,3.0,0.0,0.0
170,42,0,2,0.0,0.0,1,15.0,7.0,5.0,4.0,13.0,10.0,7.0,6.0,5.0,3.0,0.0,0.0
171,6,14,2,0.0,0.0,1,19.0,10.0,7.0,3.0,16.0,9.0,6.0,3.0,6.0,8.0,0.0,0.0
172,38,29,2,0.0,2.0,2,6.0,20.0,4.0,10.0,11.0,14.0,0.0,7.0,1.0,4.0,1.0,0.0
173,16,25,1,0.0,1.0,2,20.0,9.0,4.0,4.0,11.0,15.0,5.0,2.0,0.0,3.0,0.0,0.0
174,9,22,1,0.0,0.0,1,21.0,6.0,6.0,1.0,14.0,16.0,9.0,2.0,4.0,3.0,0.0,0.0
175,26,33,2,0.0,0.0,1,14.0,5.0,5.0,3.0,15.0,6.0,7.0,2.0,4.0,4.0,0.0,0.0
176,28,8,0,2.0,1.0,0,18.0,8.0,7.0,5.0,9.0,3.0,12.0,3.0,3.0,1.0,0.0,0.0
177,1,18,0,1.0,2.0,2,17.0,6.0,8.0,2.0,10.0,12.0,6.0,2.0,1.0,4.0,0.0,0.0
178,19,45,1,1.0,0.0,0,21.0,11.0,5.0,3.0,15.0,18.0,3.0,2.0,2.0,3.0,0.0,0.0
179,31,42,0,1.0,0.0,0,9.0,20.0,3.0,6.0,16.0,13.0,7.0,12.0,4.0,4.0,0.0,0.0
180,14,16,1,1.0,0.0,0,13.0,9.0,7.0,3.0,9.0,13.0,4.0,5.0,4.0,2.0,0.0,0.0
181,29,26,2,0.0,2.0,2,8.0,11.0,3.0,3.0,7.0,7.0,5.0,2.0,4.0,1.0,0.0,0.0
182,33,47,1,1.0,1.0,1,16.0,11.0,5.0,3.0,15.0,18.0,7.0,3.0,3.0,4.0,0.0,0.0
183,18,6,2,0.0,0.0,1,18.0,17.0,8.0,7.0,6.0,1.0,8.0,4.0,2.0,1.0,0.0,0.0
184,8,38,0,1.0,0.0,0,20.0,18.0,7.0,6.0,10.0,7.0,2.0,8.0,2.0,1.0,0.0,0.0
185,45,28,2,1.0,2.0,2,10.0,23.0,2.0,8.0,10.0,3.0,3.0,11.0,3.0,2.0,0.0,0.0
186,25,1,2,0.0,1.0,2,9.0,10.0,3.0,5.0,13.0,21.0,1.0,4.0,4.0,5.0,0.0,0.0
187,0,9,1,1.0,0.0,0,11.0,22.0,7.0,4.0,12.0,7.0,3.0,7.0,3.0,2.0,1.0,0.0
188,22,19,1,1.0,1.0,1,11.0,9.0,4.0,4.0,15.0,15.0,8.0,6.0,2.0,3.0,0.0,0.0
189,47,14,2,2.0,2.0,1,12.0,14.0,4.0,8.0,13.0,13.0,5.0,5.0,2.0,3.0,0.0,0.0
190,26,8,0,1.0,0.0,0,19.0,8.0,8.0,2.0,10.0,7.0,9.0,4.0,2.0,3.0,0.0,0.0
191,6,31,1,1.0,0.0,0,16.0,14.0,4.0,5.0,19.0,8.0,8.0,9.0,2.0,2.0,0.0,0.0
192,42,18,0,2.0,0.0,0,13.0,10.0,7.0,1.0,11.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0
193,28,22,0,3.0,1.0,0,14.0,1.0,5.0,1.0,4.0,15.0,10.0,1.0,2.0,3.0,0.0,0.0
194,1,0,2,0.0,0.0,1,11.0,9.0,3.0,4.0,8.0,15.0,4.0,1.0,1.0,3.0,0.0,0.0
195,38,33,2,0.0,0.0,1,5.0,23.0,1.0,8.0,14.0,14.0,4.0,10.0,3.0,3.0,0.0,0.0
196,16,45,2,0.0,0.0,1,14.0,18.0,2.0,3.0,9.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0
197,19,25,0,1.0,1.0,1,18.0,10.0,6.0,4.0,14.0,13.0,7.0,5.0,2.0,2.0,0.0,0.0
198,9,29,0,1.0,0.0,0,14.0,11.0,5.0,4.0,9.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0
199,25,42,1,0.0,1.0,2,7.0,15.0,3.0,7.0,11.0,12.0,2.0,13.0,1.0,1.0,0.0,0.0
200,8,16,0,1.0,0.0,0,9.0,14.0,5.0,6.0,6.0,15.0,4.0,7.0,1.0,5.0,0.0,0.0
201,14,28,2,0.0,1.0,2,10.0,11.0,3.0,5.0,12.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0
202,45,1,2,1.0,1.0,1,14.0,15.0,3.0,3.0,18.0,11.0,5.0,3.0,1.0,2.0,0.0,0.0
203,31,38,0,1.0,0.0,0,3.0,19.0,1.0,4.0,15.0,16.0,3.0,12.0,2.0,4.0,1.0,0.0
204,22,26,2,0.0,0.0,1,7.0,18.0,2.0,5.0,9.0,18.0,2.0,10.0,3.0,1.0,0.0,0.0
205,0,47,0,1.0,0.0,0,18.0,9.0,6.0,3.0,17.0,14.0,8.0,2.0,2.0,2.0,0.0,0.0
206,33,6,1,1.0,0.0,0,14.0,13.0,8.0,4.0,17.0,8.0,2.0,6.0,1.0,3.0,0.0,0.0
207,18,9,2,0.0,1.0,2,9.0,10.0,1.0,5.0,8.0,8.0,1.0,5.0,1.0,1.0,1.0,0.0
208,29,19,0,0.0,0.0,1,14.0,10.0,5.0,2.0,12.0,10.0,7.0,8.0,2.0,3.0,0.0,0.0
